unit_no,unit_id,order,level,lemma,display,phonetic,meaning,example,past
1,pep_new_g6_s1_u1,1,required_spell,was,was,/wɒz/,是，be 的过去式,It was great.,
1,pep_new_g6_s1_u1,2,required_spell,go,go / went,/ɡəʊ/ /went/,去 / 去了,I went to Xi'an.,went
1,pep_new_g6_s1_u1,3,required_spell,climb,climb,/klaɪm/,攀登；爬,I climbed the Great Wall.,
1,pep_new_g6_s1_u1,4,required_spell,see,see / saw,/siː/ /sɔː/,看见 / 看见了,I saw beautiful flowers.,saw
1,pep_new_g6_s1_u1,5,required_spell,eat,eat / ate,/iːt/ /et/,吃 / 吃了,I ate hot dry noodles.,ate
1,pep_new_g6_s1_u1,6,required_spell,take,take / took,/teɪk/ /tʊk/,做；拍；拿 / 做了,I took many photos.,took
1,pep_new_g6_s1_u1,7,required_spell,send,send,/send/,邮寄；发送,Please send me some pictures.,
1,pep_new_g6_s1_u1,8,required_spell,village,village,/ˈvɪlɪdʒ/,村庄；村镇,I went to a village nearby.,
1,pep_new_g6_s1_u1,9,required_spell,view,view,/vjuː/,景色,The view was great.,
1,pep_new_g6_s1_u1,10,required_recognize,kilometre,kilometre,/ˈkɪləmiːtə/,千米；公里,"It's 21,000 kilometres in all.",
1,pep_new_g6_s1_u1,11,required_recognize,gingerbread house,gingerbread house,/ˈdʒɪndʒəbred haʊs/,姜饼屋,I visited the Gingerbread House.,
1,pep_new_g6_s1_u1,12,required_recognize,thousand,thousand,/ˈθaʊzənd/,一千,There are over seven thousand warriors.,
1,pep_new_g6_s1_u1,13,required_recognize,clay,clay,/kleɪ/,黏土；陶土,clay warriors,
1,pep_new_g6_s1_u1,14,required_recognize,dry,dry,/draɪ/,干的,hot dry noodles,
1,pep_new_g6_s1_u1,15,required_recognize,inspiring,inspiring,/ɪnˈspaɪərɪŋ/,鼓舞人心的,The stories were inspiring.,
1,pep_new_g6_s1_u1,16,required_recognize,bamboo,bamboo,/ˌbæmˈbuː/,竹子,bamboo forest,
1,pep_new_g6_s1_u1,17,required_recognize,pumpkin,pumpkin,/ˈpʌmpkɪn/,南瓜,pumpkin soup,
1,pep_new_g6_s1_u1,18,required_recognize,restaurant,restaurant,/ˈrestrɒnt/,餐馆,a nice restaurant,
1,pep_new_g6_s1_u1,19,required_recognize,airport,airport,/ˈeəpɔːt/,机场,It's near the airport.,
1,pep_new_g6_s1_u1,20,required_recognize,New Zealand,New Zealand,/ˌnjuː ˈziːlənd/,新西兰,It's in New Zealand.,
1,pep_new_g6_s1_u1,21,required_recognize,bridge,bridge,/brɪdʒ/,桥,Hong Kong-Zhuhai-Macao Bridge,
1,pep_new_g6_s1_u1,22,required_recognize,Paris,Paris,/ˈpærɪs/,巴黎,I travelled to Paris.,
1,pep_new_g6_s1_u1,23,required_recognize,Eiffel Tower,Eiffel Tower,/ˈaɪfəl ˈtaʊə/,埃菲尔铁塔,I visited the Eiffel Tower.,
1,pep_new_g6_s1_u1,24,required_recognize,Terracotta Warriors,Terracotta Warriors,/ˌterəˈkɒtə ˈwɒriəz/,兵马俑,I saw the Terracotta Warriors.,
1,pep_new_g6_s1_u1,25,required_recognize,museum,museum,/mjuːˈziːəm/,博物馆,I visited a museum.,
2,pep_new_g6_s1_u2,1,required_spell,paste,paste,/peɪst/,粘贴,We pasted pictures.,
2,pep_new_g6_s1_u2,2,required_spell,dress,dress,/dres/,穿衣服,We dressed up.,
2,pep_new_g6_s1_u2,3,required_spell,count down,count down,/kaʊnt daʊn/,倒计时,We counted down together.,
2,pep_new_g6_s1_u2,4,required_spell,marathon,marathon,/ˈmærəθən/,马拉松赛跑,We watched a marathon.,
2,pep_new_g6_s1_u2,5,required_spell,race,race,/reɪs/,赛跑；竞赛,It was a dragon boat race.,
2,pep_new_g6_s1_u2,6,required_spell,run,run / ran,/rʌn/ /ræn/,跑 / 跑了,They ran fast.,ran
2,pep_new_g6_s1_u2,7,required_spell,cheer,cheer,/tʃɪə/,欢呼；加油,We cheered for the runners.,
2,pep_new_g6_s1_u2,8,required_spell,book fair,book fair,/bʊk feə/,书市,I went to a book fair.,
2,pep_new_g6_s1_u2,9,required_spell,writer,writer,/ˈraɪtə/,作家；作者,He is a famous writer.,
2,pep_new_g6_s1_u2,10,required_spell,read,read / read,/riːd/ /red/,阅读 / 读了,I read a book yesterday.,read
2,pep_new_g6_s1_u2,11,required_spell,make,make / made,/meɪk/ /meɪd/,做；使出现 / 做了,We made lanterns.,made
2,pep_new_g6_s1_u2,12,required_spell,sing,sing / sang,/sɪŋ/ /sæŋ/,唱歌 / 唱了,We sang songs.,sang
2,pep_new_g6_s1_u2,13,required_spell,wear,wear / wore,/weə/ /wɔː/,穿；戴 / 穿了,She wore a red dress.,wore
2,pep_new_g6_s1_u2,14,required_spell,yesterday,yesterday,/ˈjestədeɪ/,昨天,I watched a race yesterday.,
2,pep_new_g6_s1_u2,15,required_recognize,gala,gala,/ˈɡɑːlə/,演出；庆典,We watched a gala.,
2,pep_new_g6_s1_u2,16,required_recognize,as,as,/æz/,作为,He dressed as a tiger.,
2,pep_new_g6_s1_u2,17,required_recognize,notice,notice,/ˈnəʊtɪs/,通知,I read a notice.,
2,pep_new_g6_s1_u2,18,required_recognize,wake,wake / woke,/weɪk/ /wəʊk/,醒来 / 醒了,I woke up early.,woke
2,pep_new_g6_s1_u2,19,required_recognize,later,later,/ˈleɪtə/,随后；后来,"Later, we had dinner.",
2,pep_new_g6_s1_u2,20,required_recognize,judge,judge,/dʒʌdʒ/,裁判,The judge was fair.,
2,pep_new_g6_s1_u2,21,required_recognize,begin,begin / began,/bɪˈɡɪn/ /bɪˈɡæn/,开始 / 开始了,The race began.,began
2,pep_new_g6_s1_u2,22,required_recognize,win,win / won,/wɪn/ /wʌn/,获胜 / 赢了,Our team won.,won
2,pep_new_g6_s1_u2,23,required_recognize,winner,winner,/ˈwɪnə/,获胜者,She was the winner.,
2,pep_new_g6_s1_u2,24,required_recognize,ever,ever,/ˈevə/,以往任何时候,It was the most exciting race ever.,
2,pep_new_g6_s1_u2,25,required_recognize,exciting,exciting,/ɪkˈsaɪtɪŋ/,令人激动的,It was exciting.,
3,pep_new_g6_s1_u3,1,required_spell,cold,cold,/kəʊld/,感冒,I have a cold.,
3,pep_new_g6_s1_u3,2,required_spell,ill,ill,/ɪl/,不舒服；有病,I feel ill.,
3,pep_new_g6_s1_u3,3,required_spell,head,head,/hed/,头；头部,My head hurts.,
3,pep_new_g6_s1_u3,4,required_spell,runny nose,runny nose,/ˈrʌni nəʊz/,流鼻涕,I have a runny nose.,
3,pep_new_g6_s1_u3,5,required_spell,soon,soon,/suːn/,很快；马上,Get well soon.,
3,pep_new_g6_s1_u3,6,required_spell,fever,fever,/ˈfiːvə/,发烧；发热,I have a fever.,
3,pep_new_g6_s1_u3,7,required_spell,cough,cough,/kɒf/,咳嗽,I have a cough.,
3,pep_new_g6_s1_u3,8,required_spell,discuss,discuss,/dɪˈskʌs/,讨论；商量,Let's discuss it.,
3,pep_new_g6_s1_u3,9,required_spell,diet,diet,/ˈdaɪət/,日常饮食,Have a healthy diet.,
