word_id,lemma,display_form,meaning_zh,ngsl_rank,has_example,relation_count,capabilities
en_the,the,the,这/那；该（定冠词）,1,False,0,recognition|meaning|recall
en_be,be,be,是；存在；成为,2,False,0,recognition|meaning|recall
en_and,and,and,和；而且,3,False,0,recognition|meaning|recall
en_of,of,of,……的；属于,4,False,0,recognition|meaning|recall
en_to,to,to,到；向；用于不定式,5,False,0,recognition|meaning|recall
en_a,a,a,一个；一（不定冠词）,6,False,0,recognition|meaning|recall
en_in,in,in,在……里面；在……中,7,False,0,recognition|meaning|recall
en_have,have,have,有；拥有；已经（助动词）,8,False,0,recognition|meaning|recall
en_it,it,it,它；这件事,9,False,0,recognition|meaning|recall
en_you,you,you,你；你们,10,False,0,recognition|meaning|recall
en_he,he,he,他,11,False,0,recognition|meaning|recall
en_for,for,for,为了；给；对于,12,False,0,recognition|meaning|recall
en_they,they,they,他们；她们；它们,13,False,0,recognition|meaning|recall
en_not,not,not,不；没有,14,False,0,recognition|meaning|recall
en_that,that,that,那；那个；引导从句,15,False,0,recognition|meaning|recall
en_we,we,we,我们,16,False,0,recognition|meaning|recall
en_on,on,on,在……上；关于,17,False,0,recognition|meaning|recall
en_with,with,with,和；带有；用,18,False,0,recognition|meaning|recall
en_this,this,this,这；这个,19,False,0,recognition|meaning|recall
en_i,i,I,我,20,False,0,recognition|meaning|recall
en_do,do,do,做；干；助动词,21,False,0,recognition|meaning|recall
en_as,as,as,作为；像；当……时,22,False,0,recognition|meaning|recall
en_at,at,at,在；向；以,23,False,0,recognition|meaning|recall
en_she,she,she,她,24,False,0,recognition|meaning|recall
en_but,but,but,但是；除了,25,False,0,recognition|meaning|recall
en_from,from,from,从；来自,26,False,0,recognition|meaning|recall
en_by,by,by,由；通过；在……旁边,27,False,0,recognition|meaning|recall
en_will,will,will,将；会；愿意,28,False,0,recognition|meaning|recall
en_or,or,or,或者；否则,29,False,0,recognition|meaning|recall
en_say,say,say,说；表示,30,False,0,recognition|meaning|recall
en_go,go,go,去；走；进行,31,False,1,recognition|meaning|recall|relation
en_so,so,so,所以；如此；很,32,False,0,recognition|meaning|recall
en_all,all,all,全部；所有,33,False,0,recognition|meaning|recall
en_if,if,if,如果；是否,34,False,0,recognition|meaning|recall
en_one,one,one,一；一个；某人,35,False,0,recognition|meaning|recall
en_would,would,would,会；将会；愿意（过去/委婉）,36,False,0,recognition|meaning|recall
en_about,about,about,关于；大约,37,False,0,recognition|meaning|recall
en_can,can,can,能；可以,38,False,0,recognition|meaning|recall
en_which,which,which,哪一个；哪个；关系代词,39,False,0,recognition|meaning|recall
en_there,there,there,那里；有（there be）,40,False,0,recognition|meaning|recall
en_know,know,know,知道；认识,41,True,0,recognition|meaning|recall|context
en_more,more,more,更多；更加,42,False,1,recognition|meaning|recall|relation
en_get,get,get,得到；变得；到达,43,True,0,recognition|meaning|recall|context
en_who,who,who,谁；关系代词,44,False,0,recognition|meaning|recall
en_like,like,like,喜欢；像,45,True,0,recognition|meaning|recall|context
en_when,when,when,什么时候；当……时,46,False,0,recognition|meaning|recall
en_think,think,think,想；认为；思考,47,True,0,recognition|meaning|recall|context
en_make,make,make,做；制造；使,48,True,0,recognition|meaning|recall|context
en_time,time,time,时间；次数,49,True,0,recognition|meaning|recall|context
en_see,see,see,看见；明白；会见,50,True,0,recognition|meaning|recall|context
en_what,what,what,什么；多么；所……的,51,False,0,recognition|meaning|recall
en_up,up,up,向上；起来,52,False,0,recognition|meaning|recall
en_some,some,some,一些；某些,53,False,0,recognition|meaning|recall
en_other,other,other,其他的；另一个,54,False,0,recognition|meaning|recall
en_out,out,out,出去；在外,55,False,0,recognition|meaning|recall
en_good,good,good,好的；有益的,56,True,1,recognition|meaning|recall|context|relation
en_people,people,people,人们；人民,57,True,0,recognition|meaning|recall|context
en_year,year,year,年；岁,58,True,0,recognition|meaning|recall|context
en_take,take,take,拿；带；花费；乘坐,59,True,0,recognition|meaning|recall|context
en_no,no,no,不；没有；不是,60,False,1,recognition|meaning|recall|relation
en_well,well,well,好地；健康的；井,61,False,0,recognition|meaning|recall
en_because,because,because,因为,62,False,0,recognition|meaning|recall
en_very,very,very,很；非常,63,False,0,recognition|meaning|recall
en_just,just,just,刚刚；只是；正好,64,False,0,recognition|meaning|recall
en_come,come,come,来；到来,65,False,1,recognition|meaning|recall|relation
